question,choice_a,choice_b,choice_c,choice_d,answer,model,model_answer,label
Barnyard bovines,eat organic chicken,eat eggs,eat beef,eat alfalfa hay,D,davinci, are ruminants A: they have four stomachs,1
Desert environments features,tropical plants,tons of sun,massive rain totals,icy precipitation,B,davinci, A: sand,1
"a large cluster of humans, dogs, apple trees, atmosphere and more can be called",army of ants,a community,a toy store,a shopping mall,B,davinci, A: a family,0
"A person is considering various organs, and is looking at which ones will be most muscular. A contender for most muscular is",the lungs,the kidney,the heart,the liver,C,davinci, the heart,1
Which pair don't reproduce the same way?,rabbit and hare,mule and hinny,cat and catfish,caterpillar and butterfly,C,davinci, A: male and female,0
Which of the following is warm blooded?,toad,snake,turtle,skunk,D,davinci, A: a human,1
"A male bird spots a female of his species and begins a fancy dance, flashing his bright feathers around in the air, showing off. This male is attempting to procure",a manager,an agent,a meal,a reproductive companion,D,davinci, a mate,1
Vast quantities of metal can be obtained from,a quarry,concerts,forests,salt,A,davinci, the sea A: but it's not worth the effort,1
Roasting a turkey requires adding what type of energy,Heat,Kinetic,Magnetic,Chemical,A,davinci,? A: thermal,1
Dry environments often,liberally use water for everything,allow plants to flourish,require people to move,institute rules about water usage,D,davinci, have A: low humidity,1
Phloem moves things around a plant similar to how,blood moves in a body,leaves move in the wind,water moves in a system,cars move on a street,A,davinci, blood moves things around the body,1
Where would a polar bear be most comfortable?,Arizona,Georgia,Florida,Nebraska,D,davinci, A: In a cold room,1
"When a plane is in the sky and is several miles away, the light seen is barely visible, but when it is drawing near",light is far away,light is more easily seen,light is more distant,light is further away,B,davinci,", the light is very bright",1
Members of rock bands often perform with,flutes,sandals,earplugs,gloves,C,davinci, A: their instruments,1
Muscles move bones to produce movement like when,arms are resting,hair is growing,smiles are invisible,toes are wiggled,D,davinci, you walk A: muscles are the engines of movement,1
How is electricity produced from the ocean?,decaying organic material from sealife,energy is accessed underwater from tides,drills to access oil supplies,chemical reactions produced from the salt in the water,B,davinci, A: by using a water wheel,1
small reptile's diet consists mostly of,invertebrates,insects,mammals,fish,B,davinci, A: insects,1
The life work of a flower is to,provide nice scents,be successfully fertilized,grow very tall,look pretty,B,davinci, produce seeds,1
Which of these would create the most sound if struck with a metal spoon?,the plastic water bottle,the backside of a person,the hair on a doll,the chassis of a car,D,davinci, A: a bowl of oatmeal,0
During landslides there is often a lot of,air,mud,snow,wind,B,davinci, A: debris,1
An example of a chemical reaction would be,A rusty fence,Sleeping,Drinking water,Rain,A,davinci, A: a chemical reaction,1
The size of an object and the ability to see it more easily have what kind of relationship?,equal,inverse,direct,reverse,C,davinci," A: The smaller it is, the easier it is to see",0
Tuna primarily eat,"parasites, soybeans and flaxseeds","sea turtles, sharks and coral reefs","spineless marine organisms, cartilaginous and gelatinous organisms","sea vegetables like kelp, Irish moss and Arame",C,davinci, A: fish,1
Evaporation of water can lead to,waterfalls,blizzards,earthquakes,hot springs,B,davinci, dehydration A: water is evaporating,1
What is an electrical energy conductor?,horseshoe,tire,cotton shirt,maple branch,A,davinci, A: a wire,1
What kind of substance will cool when it touches a cold object?,warm,frozen,chilly,cold,A,davinci, A: a liquid,0
Scraping an object,may cause the object to grow in size,may cause the object to fall,may cause pieces to flake off the object,may cause the object to snap in half,C,davinci, with a sharp edge A: is a form of deconstruction,1
A pulley is used to lift a flag on a flagpole by,moving a rope sideways,putting something in the air,moving things with wheels,yanking string up a wheel,D,davinci, means of a rope,1
Which animal lays eggs,emus,dogs,squirrels,giraffes,A,davinci,? A: the egg-laying animal,1
Dunes can be made out of the same thing as,clothes,food,forests,castles,D,davinci, mountains A: sand,1
A learned behavior is exhibited when,squinting in bright light,inhaling and exhaling during sleep,blinking and gulping air,nailing up a picture frame,D,davinci, A: a behavior is repeated,1
Wax can be used similarly to,wood,rubber,water,metal,B,davinci, a condom A: it can be used to seal a hole,1
Bill planted rapeseed in his field one year and soybeans the next in order to,get bigger yields,make things boring,keep things random,get smaller yields,A,davinci, rotate his crops,1
What is the primary reason my duck feather filled jacket works well against the snow,feathers slows heat transfer,the natural duck wax,a synthetic thick liner,small flexible solar panels,A,davinci,? A: It's a down jacket,1
Turbines churning seawater can be used to produce what?,a charge for appliances,large quantities of soup,large schools of fish,creating some sharp cheese,A,davinci, A: electricity,1
What will increase when a substance absorbs solar energy?,weight,height,hotness,nutrition,C,davinci, A: its temperature,1
Which of these travels through the air?,planets,thoughts,automobile,music,D,davinci, A: a fart,1
"A company makes notebooks for college courses, so their main material is",chips,water,grass,trees,D,davinci, paper,1
Rain is usually guaranteed when all are present but,cirrus clouds,cumulus clouds,hail stones,direct sunshine,D,davinci, one A: clouds,0
Sources of air pollution are,Walking,Landfills,Water,Chips,B,davinci," A: cars, factories, and power plants",1
What are iron nails made out of?,wood,plastic,metal,glass,C,davinci, A: iron,1
Putting one kind of soda into the same cup as another kind of soda is doing what to the substances?,combining,drinking,Subtracting,throwing,A,davinci, A: It's mixing them,1
A moth leaving it's cocoon is the final step in a,life cycle,transformation,recycling process,chemical reaction,B,davinci, metamorphosis,1
Which of these combinations would be desired if someone wanted to make a cutting implement that lasts a long time?,ice and snow,sticks and stones,snow and water,iron and carbon,D,davinci, A: steel and stone,0
Which of the following is powered the same way an electric car is?,a bicycle,a motorcycle,a propane grill,a blender,D,davinci, A: a solar-powered car,0
Aluminum is what?,reprocessable,plastic,liquid,absorbent,A,davinci, A: a metal,1
To get warm frogs can,wear a Christmas sweater,Drink a hot chocolate,Go for a run,sit under a lamp,D,davinci, be placed in a refrigerator A: they will be cold frogs,0
"if you put wine from a jug into a thin bottle, how come it conforms?",it exhibits absolute rigidity,it is a solid mass,all of these,it is a variable substance,D,davinci, A: it's a liquid,1
Earthworms create tunnels in,ice,dirt,water,concrete,B,davinci, the soil A: they are digging holes,1
when worms return nutrients from dead organisms to the soil by eating them it is known as,regurgitation,decomposition,recycling,burial,B,davinci, A: decomposition,1
The aluminum cans were much hotter than the,gold jewelry,wooden fence,brass doorknob,steel pole,B,davinci, plastic bottles,1
Which of the following is not an input in photosynthesis?,sunlight,oxygen,water,carbon dioxide,B,davinci, A: carbon dioxide,0
which of these are you most likely to find in a desert?,a hammer head shark,a big tilapia fish,a prickly horned male lizard,none of these,C,davinci, A: a mirage,1
"If your dog sits in an oxygen deficient chamber, what happens?",it will be fine,it will be happy,it will be comfortable,It will pass out,D,davinci, A: He becomes a dog-pitalist,0
Which of the following can be used to turn on an electrical device?,solar-rechargeable battery,a wedge,a magnet,pressure gauge,A,davinci, A: a switch,1
Which of the following contains large amounts of salt water?,The Amazon,The Nile,The Indian,The Mississippi,C,davinci, A: the ocean,1
The nimbleness of this animal is a key adaption that allows it to escape attacks from predators:,the butterfly,the sloth,the praying mantis,the antelope,D,davinci, A: the cheetah,1
A person speaks English as her first language because,media is mainly in English,school is in English,she was genetically predisposed,she watched her parents speak,D,davinci, A: she was born in England,0
what are eaten by honey producing insects?,they consume plants,they eat cows,plant reproduction parts,they eat flowers,C,davinci, A: flowers,0
The Earth's closest heat source is,our celestial fireball,solar flares,gamma rays,big bang,A,davinci, A: the sun,1
How can we see how wind effects sand?,sand is always moving,sandstorms create ripples in sand,sand is easy to move through,beaches often have waves in the sand,B,davinci, A: by looking at the sand dunes,1
Fruit comes from what source,an organism that releases carbon dioxide,an organism that absorbs water through it's branches,an organism that absorbs oxygen,an organism that absorbs water through it's roots,D,davinci,? A: trees,1
In which location would a groundhog hide from a wolf?,beside a tree,in the grass,on a stump,under the ground,D,davinci, A: In a hole,1
Cutting down trees in a forest,leads to more habitats for animals,decreases the chance of erosion,increases the number of trees in the forest,leads to less habitats for animals,D,davinci, A: reduces the oxygen in the air,1
"I chipped away at a toy doll and the surface became really rough, when I rub it against a piece of wood that will create an increase in",animals,resistance,water,sunshine,B,davinci," friction, what is the effect? A: The friction will increase",1
The arctic is white in coloring,because it's overpopulated with polar bears,because it's covered in white lilies,because it's blanketed in crystalline ice water,because it's gets so little sunlight,C,davinci, A: it is covered in snow,1
What would help to ensure that your dog remains free from hypothermia in January in Alaska?,Lots of meat,Lots of love,Vitamin supplements,An insulated room,D,davinci, A: A fur coat,1
The majority of a lizard's diet consists of,fleas,crawlies,gummy worms,berries,B,davinci, A: insects,1
What food production happens in a leaf?,nutrient making process,the breathing,the respiration,the digestion,A,davinci, A: photosynthesis,1
Plants are unable to grow if they have zero access to,a nice cool breeze,fresh soil with manure,a regular source of saltwater,needs required for creating chlorophyll,D,davinci, sunlight,1
Which characteristic did a person inherit?,length of hair,number of friends,number of nails,length of shirt,C,davinci, A: a gene,1
Selective deforestation has a negative impact on,rain clouds and ozone layer,"lakes, ponds and shellfish",greenhouse gases and algae,living organisms in ecosystem,D,davinci, the environment,1
Where would you find a mine?,in a tree,under a mountain,in the air,in the water,B,davinci, A: In a mine shaft,0
What can cause people to crash their car?,Seeing a solar eclipse,Using their turn signals,Driving the speed limit,Keeping their eyes on the road,A,davinci, A: A crash can cause people to crash their car,1
Coral grows in,frigid waters,tepid seas,glacial environments,jungle forests,B,davinci, the ocean A: coral is a plant,1
"A Punnett square is used to identify the percent chance of a trait being passed down from a parent to its offspring, so",certain things may be featured,certain features may be predicted,certain traits may be given,certain features may be guaranteed,B,davinci,what is the percent chance of a trait being passed down from a parent to its offspring? A: 100% Q: What is the most important thing to remember when using a Punnett square? A: The square is a tool to help you,0
"A deer is eating in a field, and wants more food. Regardless of how hard the deer tries, the deer is unable to produce",longer antlers,food for itself,baby deer,urine,B,davinci, more food,1
Building new areas to dispose of refuse may lead to,community concerns over environmental impact,better air and soil quality,higher value on land parcels,improvement in water supply,A,davinci, A: a new area of refuse,1
Evaporation,causes puddles to become dried out mud,causes fields of crops to grow faster,causes flowers to bloom abundantly,fills up irrigation ponds,A,davinci, is the process of A: water turning into vapor,1
"A field begins to bloom and blossom and plants need to be pollinated. In order to spread seeds, plants will most rely on",pythons,salmon,robins,craters,C,davinci, the wind,1
Which item urinates?,airplane,car,mammal,boat,C,davinci, A: the cat,1
All of the following are examples of evaporation apart from,Warm breath fogging up a mirror,Morning dew drying on the grass,The water level in a glass decreasing,Sweat drying on skin,A,davinci, A: the evaporation of water,0
The lunar cycle also changes,water,colors,the sun,planets,A,davinci, the tides A: the moon is a big ball of cheese,0
An organism that makes food for itself,is nutritionally self sustaining,will die faster than other organisms,will need help sustaining strength,is reliant on other organisms for assistance,A,davinci, A: is a producer,1
What does the respiratory system transfer to the circulatory system?,food,water,nutrients,O,D,davinci, A: oxygen,1
"In a closed circuit, electricity will",burn out,charge itself,loop endlessly,resist flow,C,davinci, flow from the positive terminal to the negative terminal,0
A Punnett square can be used to calculate the chance of a trait being passed to someone's,mother,grandfather,daughter,father,C,davinci, offspring,1
They looked where the log decayed to garden as it would leave the earth,richer,dryer,sandy,harder,A,davinci,,1
what kind of temperature causes fur shedding?,in freezing cold,a high temperature,in any temperature,a low temperature,B,davinci, A: hot,1
exposure to fire could result in,wet items,cold items,none of these,combusted items,D,davinci, A: combustion,1
What is an example of clear weather meaning sunny weather?,more stars are visible on clear nights,cloud cover protects from sunburn,clear days will be warmer,fewer clouds allow for more sunlight,D,davinci, A: clear skies,1
The special tissues in plants that transport minerals throughout the plant are similar to,a wick,a funnel,a knife,a whisk,A,davinci, the blood vessels in animals,1
a compass is a kind of tool for determining direction by pointing,to western Canada shoreline,to the lower pole,to the upper pole,directly to the equator,C,davinci, to the magnetic north A: a compass is a kind of tool for determining direction by pointing to the magnetic north Q: What is the opposite of a compass? A: a compass,1
Which of these saws will last longer?,iron saw,aluminium saw,plastic saw,wooden saw,A,davinci, A: the one you sharpen,1
"although there are many stars visible in the night sky, which is most visible in the day?",the single moon close to us,the orion star cluster,the sun that shines all day,all of these,C,davinci, A: the sun,1
The moon is known for having what feature?,frozen streams of water,large bowl shaped cavities,caves formed by solar winds,groups of large trees,B,davinci, A: a dark side,1
Cellular respiration's trash is,a bug's treasure,a cow's treasure,a plant's treasure,everyone's trash,C,davinci, A: carbon dioxide,1
Which of the following human activities can lead to a change in the local ecosystem?,swimming in a lake,building a new subdivision,dancing in a field,going for a hike,B,davinci, A: eating,0
A bird that takes off flying is,using heat to produce motion,using calories to produce motion,using wings to produce heat,using calories to produce energy,B,davinci, A: a flying bird,1
The leading cause of soil and rock erosion is,H2O,CO2,NaCl,Fe,A,davinci, A: water,1
Which of these foods might have a negative impact on humans?,Organic corn,Conventional corn,Organic potato,Organic Apples,B,davinci, A: the ones that are not eaten,1
What kind of implement is a compass?,to test heat,for wind speed,it measures distance,it shows direction,D,davinci, A: a navigational tool,1
Nectar is taken to,flowers,a hive,a stream,a nest,B,davinci, the hive A: bees are being fed,1
what is the closest source of plasma to our planet?,all of these,the cloud in the sky,the nearest star sulfur burning heavenly body,the bare moon surface,C,davinci, A: the sun,1
"A sailor needs to navigate to the shore, and does this by",closing the sails quickly,setting out to sea,making an adjustment to the rudder,taking the afternoon off,C,davinci, A: using a compass,1
A bat starts its life similarly to a,chicken,pig,butterfly,duck,B,davinci, human A: in the womb,1
"In order to catch a rabbit, a predator must be",big,quick,slow,small,B,davinci, as fast as a rabbit,1
"If a bird is a carnivore, then it is likely a(n)",prey,predator,herbivore,canary,B,davinci, A: avian,1
A warm-weather organism can be found in,the Sahara,the mountains,the ocean,the sewers,A,davinci, the Arctic A: a polar bear,0
"When approaching an elephant from a great distance,",it stays large,it grows larger,it gets bigger,it looks bigger,D,davinci, what is the best way to avoid being trampled? A: Run,1
What would cause a human to grow?,light waves,eating wheat,photosynthesis,marching,B,davinci, A: a human,0
A saguaro has adaptations for an environment with,lots of snow,many people,less water,more water,C,davinci, little water,1
There are less hummingbirds by this house than before because of,a feeder at this house,the birds no longer like feeders,the size of the feeder,a feeder at another house,D,davinci, the cats,1
the  oceans are full of,water lilies,guppies,sea life,fresh water,C,davinci, plastic A: the oceans are full of plastic,1
A light was off because the cord was,sitting on the table,attached to the wall,attached to an extension cord,attached to a battery pack,A,davinci, unplugged A: the light was off because the cord was unplugged,1
"In the hottest months in the hottest desert, creatures such as birds may find water to drink",in sticks,in pebbles,in sand,in spiked plants,D,davinci, by A: drinking the sweat of their own feet,0
Why might a polar bear grow white hair?,look fancy,random,blend in,stand out,C,davinci, A: To hide in the snow,1
Xylem,discourages pests from landing on leaves,allows plants to move carbon dioxide from root to stems,carries seedlings from roots to leaves,allows plants to move rain thru their systems,D,davinci, is the tissue that transports water and minerals from the roots to the leaves,1
A food that is a source of heat is,ramen,salad,ice cream,sushi,A,davinci, A: a hot dog,1
When heat is added to something,contaminates may be destroyed,bacterial can grow more rapidly,viruses may be picked up,the thing loses energy,A,davinci, A: it is being cooked,1
The heart is an example of,a part of the nervous system,an organ that filters toxins,a self-healing protector from germs,something protected by the skeletal system,D,davinci, a muscle A: that is not a muscle,0
Prey are eaten by,an animal herded by sheep dogs,the animal with a starring role in Bambi,animals known for their memory,the fastest mammal with four legs,D,davinci, predators A: food is being consumed,1
A dog is warm-blooded just like,a snake,a cardinal,a spider,a scorpion,B,davinci, a human,1
A flashlight will need this in order to radiate photons:,radiation,acoustic energy,vibrations,electron flow,D,davinci, A: a battery,1
to find out how fast you are going you first need to know,where you're going,distance traveled,distance to travel,home location,B,davinci, how far you have gone A: you need to know how far you have gone to find out how fast you are going,1
"A small lamb, two days old, is walking with its mother. The mother feels ill, so refuses food, which dries up her milk production. The lack of lactation causes the lamb to",weaken,strengthen,coexist,thrive,A,davinci, die,1
"When trying to find fresh clams for dinner, a hungry person would don",a dinner jacket,a diving suit,a warm coat,a dress suit,B,davinci, a _________ A: clam digger,0
How do polar bears survive the cold?,B and D,Double Fur Coats,Cold blooded,Compact ears,A,davinci, A: They are polar bears,1
A solid is likely to form in extreme,floods,wind,chill,rain,C,davinci, cold A: ice,1
What are the feet of Dendrocygna autumnalis designed for?,catching prey,aquatic speed,flying,walking,B,davinci, A: swimming,1
What is an example of fire giving off light?,an oven is preheated and the pilot light is lit,a match is lit to light a cigarette,a lit candle in a window signalling to someone,a fire that was put out to send smoke signals,C,davinci, A: a candle,1
The respiratory system works by,directing oxygen from lungs to other organs,pushing air through lungs,moving air in a room,making air quality better,A,davinci, A: breathing in oxygen and breathing out carbon dioxide,1
Animals have more fat,in the ocean,in human homes,in landfills,in polar areas,D,davinci, than humans A: because they are more active,0
A stick bug uses what to protect itself from predators?,poison,its appearance,speed,hearing,B,davinci, A: camouflage,1
Corn is sometimes used to make,a simple alcohol,water,glass,milk,A,davinci, ethanol A: corn is sometimes used to make ethanol,1
The inside of the Thanksgiving turkey is white instead of pink because of,heat energy,light energy,color energy,color transfusion,A,davinci, A: the lack of oxygen,0
Little puppies are a result of:,reproduction ?,pet store sale,a begging child,evolution,A,davinci, A: puppy mills,0
What would a Jersey most likely be fed?,hamburger,moles,alfalfa,cow,C,davinci, A: hay,0
Which of these energy sources generates the least amount of pollution?,coal,windmill,lithium batteries,gasoline,B,davinci, A: solar,0
Grass snakes live in what?,trees,mountains,lakes,turf,D,davinci, A: grass,1
Cephalopod ink is by octopuses to,mate,feed,hide,play,C,davinci, escape predators A: by confusing them,1
Tapping a drumstick to a drum will,reverberate when touched together,vibrate when next to each other,shake around when near,put each other down,A,davinci, cause the drum to vibrate,1
Snow is more likely to fall two months before,June,March,September,December,B,davinci, the winter solstice A: because the earth is closer to the sun,0
If I want to avoid being dinner for some type of frog what should I reincarnate as?,Scorpion,House Fly,Cricket,Moth,A,davinci, A: a type of frog that is not a predator of the frog that wants to eat you,0
Dead plants are easier to find in,January,July,May,September,A,davinci, the forest A: they are brown,1
The harder a child pushes a toy car,decreases the distance it will travel,the further it will roll across the floor,the quicker the child will want to play with another toy,determines how long the child with play with it,B,davinci,", the faster it goes",1
Fossil fuels,come from old age,come from expired life,take two years to create,are created in a year,B,davinci, are a non-renewable resource A: they are being recycled,1
"A star, burning far, far away, has enormous pressure and temperature. This allows for",a room to have overhead lights,night on Earth to be dimly lit,plastic stars to decorate a ceiling,a person to be the star of a show,B,davinci, nuclear fusion to occur,0
Erosion is caused by different kinds of,soil,fish,rocks,weather,D,davinci, forces A: like wind and water,1
Respiration is a,happens for some species,happens for only land dwelling mammals,occurs for only sea creatures,commonality among all animals,D,davinci, process of A: breathing,1
"In order for your computer to operate, it must have an electrical path that is what?",magical,closed,broken,open,B,davinci, A: live,1
Polar bears live in,frosty environments,tepid environments,warm environments,tropical environments,A,davinci, the Arctic A: they are arctic bears,1
What would be more likely to attract a magnet?,a plastic zipper,flowing water,a car engine,A wooden desk,C,davinci, A: a magnet,1
What constitutes a frog's diet?,it eats all plants,it will eat dogs,it only eats burgers,it chomps on insects,D,davinci, A: flies and bugs,1
What is an example of the digestive system digesting food for the body?,a man eating nachos then getting food poisoning,a baby drinking formula then needing a diaper change,a cat eating food then throwing it up,a horse licking a salt lick,B,davinci, A: The liver,0
The body is negatively impacted by,white blood cells,vitamins,rotavirus,nasal decongestants,C,davinci, A: the absence of nutrients,1
"Someone wants their electromagnets to work, but is having difficulty powering them. In order to make them work, they need to",run wire through currants,run a continuous current,run around the wire,currently run wire through,B,davinci, be powered by a source of energy,1
"if a place has experienced flooding, what could be responsible?",all of these,there has been excess condensed water vapor,the water lacks oxygen,the local deities are angry,B,davinci, A: a flood,1
What is an example of reproduction?,farming,egg depositing,flying,walking,B,davinci, A: a baby,1
A place that is snowy has a large amount of,wind,storms,frozen water,rain,C,davinci, snow A: a snowstorm,1
An ideal abode for crickets is,a small potted plant in a house,a green and lush tree and plant packed area,a briny and warm body of water,a area surrounded by spider webs,B,davinci, A: a cricket farm,1
Carbon steel is always what?,attractive to various objects that contain iron,pleasant with a magnetic personality,made up of iron and pieces of magnets,hard as a magnetizing rod,A,davinci, A: rusting,1
"if a bat delivers a live offspring, what does this tell us?",it is a mammal,calling it a bird is wrong,all of these,it is capable of reproducing,C,davinci, A: it's a fruit bat,0
"If you find something smooth and hard on the ground, it is probably made of what?",minerals,mist,clouds,water,A,davinci, A: glass,0
as you get closer to something it begins to,shrinks down to nothing,grow in size visually,show a large shadow,rotate in a clockwise direction,B,davinci, look like a _________ A: mirage,0
After a storm,ponds may dry out,flowers will wilt and wither,creek beds may be spilling over,drinking water will be in short supply,C,davinci,", the sun comes out A: the sun is shining",1
What could I use as biofuel,Gold,Car,Diamonds,Pine Needles,D,davinci,? A: your own body,1
Which animal is hiding from a predator?,a tadpole losing its tail as it grows,an angler fish using its Esca to lure another fish,an octopus mimicking the color and texture of a rocky outcrop,a great white shark breaching the water's surface,C,davinci, A: a mouse,1
Which best demonstrates the concept of force causing an increase in speed?,skating on a rough surface,a full bag swung in circles,a computer powering on,a baker stirring batter,B,davinci, A: a car crash,0
the night sky shows very far away what,clumps of flaming gas,tidal waves washing over beaches,aircraft falling towards collision,party balloons tied to houses,A,davinci,? A: stars,1
Which would you likely find inside a beach ball?,cheese,steam,water,air,D,davinci, A: air,1
Two fridge decorations when touched back to back,shove each other away,are attracted to each other,have very little reaction,are reflective when together,A,davinci, A: a magnet,1
Runoff happens because of,birds,cattails,people,fish,C,davinci, the A: rain,1
Desert environments are generally,sweltering,arctic like,lush,frigid,A,davinci, A: arid,0
Are deserts characterized by high sunshine?,they get low sunlight,deserts get surplus sun,deserts get little sun,deserts are always cloudy,B,davinci," A: No, they are characterized by high sand",0
Water conservation could be a survival tactic in,The Appalachian Mountains,New York City,The Amazon,The Gobi Desert,D,davinci, the future,1
Objects used to hold sheets of paper together are often,large,wooden,ferromagnetic,electronic,C,davinci, called A: paper clips,1
"In order for plants and animals to grow, they need to consume food and water for",energy,fun,taste,soil,A,davinci, energy,1
A bear cub learns to stay away from unknown bears because,they are much bigger than the cub,the other bears look like its mother,their mother teaches them to keep their distance,the unknown bears look harmless,C,davinci, A: it's mother is a bear,1
a person driving to work in which of these is most likely to lose control?,a dry cobblestone road,a sleet covered highway,a dry paved road,a dry gravel road,B,davinci, A: a person driving to work in a car,1
"The only creature with offspring that is hatched, of these, is the",squirrel,swallow,mink,bat,B,davinci, A: chicken,1
What element is prevalent in a plateau?,helium,krypton,silicon,neon,C,davinci, A: carbon,0
"When a city tears down a park in a city, the park",is removed,is renewed,is retrieved,is restored,A,davinci, is being deconstructed,1
Seeds,are useless shells that need to be discarded,store extra bits of chlorophyll,need to be mashed to grow,aid in feeding what grows from them,D,davinci, are the best source of protein A: they are the best source of carbohydrates,0
"If a grizzly bear eats a salmon, what is the grizzly bear demonstrating?",consumption,cinematography,direction,production,A,davinci, A: He is demonstrating that he is a grizzly bear,1
The spring season brings,Bees,Snow,More Oxygen,Dust,A,davinci, A: the smell of flowers,1
"Kinetic energy can be found in objects that move, such as",flower pots on a wagon,cars that are in a lot,kids that are sleeping soundly,skateboards that are ridden all day,D,davinci, A: a car,1
which of these is the quickest to go visiting from our world?,none of these,a trip to mars,a trip to the moon,a trip to the northern star,C,davinci," A: the letter ""e""",0
Animals died after the removal of a,bush,street,house,city,A,davinci, part of the brain A: the part of the brain that controls the animal's death,1
"If I want to go running at night, what can I use as a reflector?",A black shirt,Kitchen foil,Sunglasses,A megaphone,B,davinci, A: a cat,0
the closest star to our planet delivers solar energy to the planet,maybe,all of these,this is sure,this is uncertain,C,davinci, A: the sun,1
Coal-fire power stations heat coal to incredible temps in order to,produce energy,use heat energy,burn energy,fuel the world,A,davinci, burn it,1
"Creatures sometimes have barbs on their backs that they use to sting, all of these do, outside of the",wasp,bee,scorpion,butterfly,D,davinci, ones that are poisonous,1
A renewable resource is,fossil fuel,turbine produced electricity,copper,coal lumps,B,davinci, A: a resource that can be renewed,1
"In a hypothetical world, black bears decrease in numbers until there are zero black bears left on this world. The black bear species",would cease existing,would be troubled,would be thriving,would be endangered,A,davinci, is extinct,1
Acid can be used to make a new,light,substance,electricity,sound,B,davinci, battery A: acid can be used to make a new battery,1
Global warming is lowering the world's amount of,hurricanes,ocean levels,carbon dioxide,ice,D,davinci, A: water,0
Echolocation can't detect an object's,distance,shape,size,temperature,D,davinci, A: mass,1
What material has already broken down?,wood,glass,boulders,sand,D,davinci, A: food,0
Which beverage would dissolve solids the best?,A glass of ice-cold water,A boiling hot mug of tea,A cup of warm milk,A room temperature glass of water,B,davinci, A: water,0
Which animal has live births?,poodle,hummingbird,crocodile,trout,A,davinci, A: the human,1
Quartz crystals are made up of,majic,hexagons,octogons,water,B,davinci, A: silicon dioxide,1
cellular respiration is when energy is produced in a cell by consumption of,water,nutrients,mitochondria,gas,B,davinci, oxygen and glucose A: cellular respiration is when energy is produced in a cell by consumption of oxygen and glucose Q: What is the process of breaking down food into smaller molecules? A: Decomposition Q: What is the process of breaking down,1
Did pasteurization get invented by Thomas Edison?,negative,positive,all of these,maybe it was,A,davinci," A: No, it was invented by Louis Pasteur",1
A glass of water can undergo a chemical change by adding,a cup of salt,a cup of dirt,a cup of water,a cup of ice,A,davinci, a teaspoon of sugar,0
Water levels may decrease on cloudless days because,water is warmer than the air,air is warmer than water,moisture is pulled upwards,moisture always tries to rise,C,davinci, A: the sun evaporates the water,1
To change an object's shape,rip off a corner portion,lay it flat on a table,color the edges of it,add a piece of tape to it,A,davinci, A: you must first change its chemical composition,0
Steve was driving on the highway when he rear-ended another car because he didn't see it until he was just a foot away. This could have happened because of,reports of tornadoes in the area,a dog running across the highway behind Steve's car,a sudden fog moving into the area,ice forming on the road,C,davinci, A: Steve's short-sightedness,0
DNA is a vehicle for passing,clothes types,school grades,elbow size,language and dialect,C,davinci, on information A: it's a data storage device,1
A beach ball goes from flat to round once you put what inside of it?,food,sunlight,gas,salt,C,davinci, A: air,1
"In general, how many times per month is there a full moon?",twice,three times,once,four times,C,davinci,A: 12,0
What kind of object does light bounce off of?,tadpole,any object,item that reflects,black hole,C,davinci, A: a mirror,1
The amount of brush in a park has been decreasing. What could be a cause?,the season has been quite dry,There has been a lot of rain,snakes shelter under the brush,People have been walking by the brush on the trails,A,davinci, A: People are using the brush to make toothpicks,0
"if a pot on the stove is described as hot, what does this mean?",the body of the pot is of high temperature,the body of the pot is cold,all of these,the body of the pot is wet,A,davinci, A: it is boiling,1
What animal is more difficult for predators to see in water?,a fish,a duck,an octopus,a crab,C,davinci, A: a fish,0
A wedge requires,electrical energy,chemical energy,mechanical energy,heat energy,C,davinci, a hammer to be hammered A: a hammer requires a wedge to be hammered,0
In solid phase matter has a/an,concrete configuration,ambiguous form,shapeless form,radioactive glow,A,davinci, A: atomic structure,1
"A school trip is going to study the coral reef for a class. They want to see how strong coral is, and what species of life live in and around it. Therefore, the class",takes a trip to the desert,climbs a tall mountain,travels to the seaside,visits a remote jungle,C,davinci, will be studying the coral reef,1
"When ice buildup is on a sidewalk, the ice may be reduced by",adding salt,adding litter,adding sand,adding water,A,davinci, A: a snow shovel,0
The appropriate place to put this item is the recycling bin,used motor oil,used soda can,used Styrofoam plates,left over medicine,B,davinci,,1
How many times would someone change the page of a calendar in a year?,13,12,15,14,B,davinci,A: 365,0
A car has the least speed if it,is heavy,is large,is turned off,is small,C,davinci, is parked A: it is not moving,1
Which musical instrument is the same type as a guitar?,flute,cello,drum,trumpet,B,davinci, A: a violin,0
The balance result will be number of,kilowatts,kilobytes,kilograms,kilometers,C,davinci, calories A: the number of calories is the balance result,0
Which of these is a place where a human might live?,igloo,cloud,Mars,the Moon,A,davinci, A: a house,1
Camouflage is when an organism does what?,reconfigure appearance to blend in,hides its young to avoid prey,changes its shape to appear larger,buries itself to disappear momentarily,A,davinci, A: blends in with its surroundings,1
Which of these is required for a plant to enjoy the product of a rain storm?,xylem,luck,magic,dirt,A,davinci, A: a rain gauge,0
How does a microscope make small things appear?,humongous,transparent,discolored,distorted,A,davinci, A: by using a microscope,1
Water can turn to vapor,when a pot of water is placed on an off stove burner,when placing water in a freezer,when boiling eggs on a stove top,when placed in a room temperature setting,C,davinci, A: when it is heated,1
